Date,Open,High,Low,Close,Volume
2024-04-08,2.7,3.04,2.7,2.91,56270
2024-04-09,3.29,3.29,2.7593,2.79,60892
2024-04-10,2.8,2.9254,2.74,2.9254,17187
2024-04-11,2.72,2.85,2.71,2.74,11360
2024-04-12,2.65,2.822,2.65,2.7205,11252
2024-04-15,2.68,2.81,2.65,2.7,15783
2024-04-16,2.7,2.76,2.5316,2.62,59945
2024-04-17,2.66,2.725,2.64,2.665,2999
2024-04-18,2.53,2.59,2.48,2.51,6930
2024-04-19,2.64,2.7913,2.56,2.68,21274
2024-04-22,2.76,3.07,2.7,3.01,30006
2024-04-23,3.0,3.08,2.8103,3.0,25900
2024-04-24,2.91,2.9454,2.8,2.92,28641
2024-04-25,2.88,2.88,2.8201,2.85,6058
2024-04-26,2.85,2.85,2.74,2.7999,10574
2024-04-29,2.8,2.825,2.7,2.7,27155
2024-04-30,2.7,2.74,2.65,2.74,6609
2024-05-01,2.68,2.69,2.68,2.68,5003
2024-05-02,2.68,2.88,2.68,2.775,5445
2024-05-03,2.79,2.94,2.79,2.94,8730
2024-05-06,2.92,2.92,2.85,2.8609,5732
2024-05-07,3.0,3.0,2.86,2.92,12654
2024-05-08,2.94,2.94,2.88,2.9,19336
2024-05-09,2.93,2.97,2.88,2.93,51160
2024-05-10,2.9,3.0,2.9,2.9,19070
2024-05-13,2.9,2.94,2.88,2.9,19008
2024-05-14,2.9,2.95,2.9,2.95,1199
2024-05-15,2.92,2.9952,2.9,2.98,5131
2024-05-16,2.96,2.98,2.95,2.95,16303
2024-05-17,2.9,2.95,2.9,2.94,4760
2024-05-20,2.92,2.9573,2.92,2.95,3766
2024-05-21,2.95,2.95,2.88,2.88,194469
2024-05-22,3.0,3.19,2.92,2.95,270680
2024-05-23,2.95,3.0686,2.85,2.85,27784
2024-05-24,2.85,2.96,2.83,2.85,25866
2024-05-28,2.82,2.9,2.81,2.81,10618
2024-05-29,2.81,2.89,2.78,2.78,6066
2024-05-30,2.78,2.79,2.76,2.76,2695
2024-05-31,2.72,2.87,2.71,2.71,9416
2024-06-03,2.7,2.77,2.7,2.7,2096
2024-06-04,2.75,2.83,2.66,2.7863,6983
2024-06-05,2.775,2.7899,2.6614,2.7899,2774
2024-06-06,2.661,2.715,2.66,2.66,3470
2024-06-07,2.6822,3.0,2.58,2.68,54466
2024-06-10,2.79,2.79,2.68,2.68,1007
2024-06-11,2.68,2.83,2.68,2.83,6254
2024-06-12,2.74,2.76,2.71,2.71,8060
2024-06-13,2.76,2.76,2.68,2.76,6420
2024-06-14,2.76,2.76,2.64,2.7148,3060
2024-06-17,2.71,2.71,2.64,2.655,10172
2024-06-18,2.64,2.7,2.64,2.645,2660
2024-06-20,2.6,2.65,2.6,2.6,6138
2024-06-21,2.58,2.71,2.58,2.61,37591
2024-06-24,2.75,2.75,2.64,2.64,7397
2024-06-25,2.73,2.73,2.61,2.61,1749
2024-06-26,2.71,2.71,2.52,2.535,19478
2024-06-27,2.65,2.71,2.56,2.56,23920
2024-06-28,2.531,2.62,2.52,2.58,14428
2024-07-01,2.402,2.58,2.402,2.58,620
2024-07-02,2.52,2.52,2.52,2.52,777
2024-07-03,2.6,2.7,2.5,2.5,7223
2024-07-05,2.55,2.6,2.4823,2.515,8606
2024-07-08,2.5759,2.6,2.5,2.5,545
2024-07-09,2.64,2.75,2.6,2.65,11670
2024-07-10,2.66,2.84,2.65,2.79,2910
2024-07-11,2.77,2.7799,2.62,2.62,800
2024-07-12,2.86,2.86,2.6477,2.81,8322
2024-07-15,2.87,2.87,2.63,2.68,4427
2024-07-16,2.66,2.84,2.66,2.84,650
2024-07-17,2.68,2.68,2.6,2.6,3801
2024-07-18,2.46,2.78,2.46,2.5,6809
2024-07-19,2.48,2.69,2.47,2.56,1498
2024-07-22,2.66,2.74,2.51,2.51,4639
2024-07-23,2.7499,2.7499,2.585,2.595,1099
2024-07-24,2.5,2.6,2.47,2.59,32567
2024-07-25,2.77,2.8,2.72,2.8,6708
2024-07-26,2.75,2.75,2.53,2.61,7852
2024-07-29,2.82,2.9,2.65,2.82,101219
2024-07-30,2.84,2.9,2.65,2.75,1471
2024-07-31,2.75,2.87,2.61,2.84,30661
2024-08-01,2.79,2.93,2.65,2.86,7266
2024-08-02,2.74,2.8,2.56,2.57,3957
