Date,Open,High,Low,Close,Volume
2025-10-09,5.75,6.0,4.6,5.42,8367300
2025-10-10,8.15,8.89,6.4068,6.56,9496200
2025-10-13,5.5,5.5,4.75,4.87,801292
2025-10-14,4.92,6.5,4.8701,5.7,837011
2025-10-15,5.7,5.8,5.05,5.3,245173
2025-10-16,5.11,5.25,4.69,4.82,190634
2025-10-17,4.76,5.0993,4.73,5.04,142535
2025-10-20,4.8,4.81,4.0,4.8,253906
2025-10-21,4.42,4.825,4.42,4.75,194588
2025-10-22,4.58,5.22,4.58,5.14,332862
2025-10-23,5.19,5.24,4.8385,5.1,94113
2025-10-24,4.93,5.39,4.93,5.19,80369
2025-10-27,5.0461,5.18,4.81,5.08,76388
2025-10-28,4.9,5.49,4.9,5.36,109513
2025-10-29,5.34,5.35,4.4,4.42,114951
2025-10-30,4.56,4.6,4.41,4.46,54783
2025-10-31,4.41,4.75,4.41,4.59,30390
2025-11-03,4.5,4.5,4.255,4.3,87158
2025-11-04,4.18,4.51,4.0,4.05,179381
2025-11-05,4.15,4.775,4.12,4.61,546280
2025-11-06,4.5,4.5,4.12,4.32,119236
2025-11-07,4.36,4.4235,4.02,4.12,62700
2025-11-10,4.25,4.73,4.25,4.57,180058
2025-11-11,4.29,4.4,4.11,4.23,239252
2025-11-12,4.39,4.39,3.74,3.89,40893
2025-11-13,4.19,4.2,3.64,3.73,109996
2025-11-14,3.73,4.0,3.61,3.96,73368
2025-11-17,3.94,5.4,3.94,5.22,239437
2025-11-18,5.09,5.2799,5.01,5.09,31195
2025-11-19,5.07,5.34,5.07,5.31,21945
2025-11-20,5.4,5.73,5.15,5.18,57813
2025-11-21,5.15,5.37,4.87,4.96,181124
2025-11-24,5.01,5.4,5.01,5.12,45163
2025-11-25,5.27,5.27,4.845,5.03,43018
2025-11-26,5.19,5.37,5.0,5.06,71856
2025-11-28,5.18,5.42,5.0,5.0,8993
2025-12-01,5.0,5.36,5.0,5.28,115587
2025-12-02,5.31,5.96,5.29,5.57,113935
2025-12-03,5.63,5.64,5.05,5.245,85515
2025-12-04,5.21,5.35,5.05,5.07,22428
2025-12-05,5.15,5.4,4.85,5.06,125956
2025-12-08,5.06,5.12,5.01,5.11,30507
2025-12-09,5.078,5.24,5.0551,5.14,64093
2025-12-10,5.1,5.12,4.58,4.58,85479
2025-12-11,4.79,5.11,4.76,5.07,111577
2025-12-12,5.0,5.1,4.87,5.0,103362
